date,symbol,action,quantity,price,equity
2025-07-30,BMNR,sell,1895.817497208038,34.400001525878906,
2025-07-30,ENTG,sell,87.68307741058902,79.33999633789062,
2025-07-30,IBM,sell,26.910821511276826,258.5121765136719,
2025-07-30,JPM,sell,23.21788514929257,299.6300048828125,
2025-07-30,PPG,sell,65.9131014608572,105.54464721679688,
2025-07-30,WMT,sell,71.28573933504752,97.58999633789062,
2025-07-30,,,,,100000.0
2025-08-06,CL,sell,456.40124001234085,84.61000061035156,
2025-08-06,GD,sell,245.18943708196082,314.989990234375,
2025-08-06,MDLZ,sell,622.1380600269187,62.06999969482422,
2025-08-06,PPG,sell,301.9349276062286,104.97843170166016,
2025-08-06,,,,,193080.54598004688
2025-08-13,,,,,44543.929156367856
